,리뷰수(개),평점,평균 연봉(만)
(주)위민,234,3.2,2607
하이브랩(주),207,2.7,3391
미래아이콘(주),180,2.8,2589
아이피그룹(주),177,2.3,3254
(주)엘루오씨앤씨,174,2.7,3594
(주)픽스다인,147,2.2,3020
(주)에이디앤스타일,118,2.3,2929
(주)제이레퍼토리,117,2.1,2689
아지앙스코리아(주),117,2.8,3740
코너크리에이티브(주),117,2.2,2973
(주)프레임아웃,103,3.0,3252
(주)이언커뮤니케이션즈,94,2.2,2935
(주)미디어포스앤컴퍼니,83,2.1,3419
포텐샵(주),82,2.4,3037
이썸테크(주),77,2.6,3427
(주)탈잉,72,3.1,3928
(주)리앙에이지,71,2.3,3424
(주)뮤자인,69,2.3,2578
(주)리플렉션,58,3.3,3682
(주)이노디스,55,2.4,3789
텐던시,50,3.0,2984
(주)가온스,48,1.7,2463
(재)행복아이씨티,47,2.6,3570
이파트(주),47,3.0,2978
(주)헬로디지털,46,2.3,3337
디나인컴즈(주),43,2.4,2981
씨제이넷마블(주),43,2.9,3623
(주)에이블유컴즈,42,2.2,3411
(주)코즈웍스,42,3.3,3104
(주)다름,41,2.9,3032
(주)유월커뮤니케이션,41,1.6,2737
(주)로드와이즈,40,3.6,3926
웹모아(주),39,2.6,3110
(주)매스티지,36,2.4,2775
레드홀릭,34,1.9,2855
(주)로브,32,2.8,2208
(주)가치브라더,31,3.2,2794
(주)디자인팝,31,2.2,4206
(주)아이마케팅,31,3.0,3178
스타일쉽(주),29,2.7,3721
(주)슬로워크,28,3.1,3194
(주)에스비에스디지털뉴스랩,28,2.6,3899
(주)맑음,27,2.6,2778
(주)비앤리커뮤니케이션즈,27,3.3,3620
비즈라인,27,2.6,2341
(주)모션아이,24,3.2,2981
(주)아이디벨,24,2.0,2813
네모커뮤니케이션,24,2.1,2298
(주)아이액츠,23,3.2,2845
루키커뮤니케이션,21,1.7,2298
(주)더진,20,2.8,2833
(주)엑스티,20,3.8,3333
(주)오엠인터랙티브,20,2.8,0
(주)후퍼,20,2.8,2728
레드라인닷컴,20,1.6,2562
(주)아이비스,19,2.9,4014
애니위즈,18,2.1,2902
웹메이커21(주),18,3.2,3002
(주)아비브,17,3.9,3123
탐솔루션,17,3.5,2879
(주)앱지,16,3.1,2675
(주)제이브릭스,16,2.1,3384
소프트브리지,15,3.5,3754
(주)피노,14,2.4,3770
블루카펫,14,1.4,2560
(주)메이드인리얼,13,3.9,2885
(주)에이치투오호스피탈리티,13,3.8,4154
(주)오투유엑스,13,2.4,2473
(주)지오인프라,13,1.9,2606
(주)비엔시스템,12,4.2,3805
이너뷰,11,2.8,3147
티앤에스컴퍼니,11,1.8,2494
피앤아이소프트,11,2.5,2532
(주)뉴타입이미지웍스,10,3.7,2951
(주)비쥬얼스토리,10,3.7,3273
(주)아이티빌리지,10,2.7,2718
(주)컨트롤에이,10,2.4,2386
(주)피벗크리에이티브,10,3.6,3498
애드히어로,10,3.0,2437
(주)비제이월드,9,2.3,0
(주)임플릿,9,2.8,2891
보구정제주,9,3.6,2720
아이앤지이즈(주),9,2.0,2298
와짱(주),9,1.8,3045
용산집,9,4.7,3068
(주)머스트핀테크,8,3.5,3398
(주)알리바애드,8,4.3,2446
크리에이티브시소(주),8,3.3,3296
하이유엑스컨설팅(주),8,3.5,5490
(주)더그랩,7,2.0,3043
(주)피프틴에이치,7,4.7,4204
(주)휴먼피봇,7,4.4,2715
위버로프트(주),7,4.3,3334
(주)김지민앤컴퍼니,6,3.3,2926
(주)낯선아이티,6,2.8,3331
49week,6,3.5,2498
밸류업,6,3.2,1700
이노베이션티(주),6,4.0,2631
(주)넥스미디어,5,2.6,0
(주)두어시스템,5,2.2,3186
(주)빈트와이어,5,2.6,2755
(주)위치컴퍼니,5,2.6,3426
능이소프트,5,2.8,2617
인터베이직,5,2.4,2560
(주)그라픽,4,2.5,2264
이노브레인,4,2.8,2706
(주)세컨드스페이스,3,4.0,0
(주)아몽소프트웨어,3,3.7,0
(주)엠티소프트,3,3.0,0
맥아피코리아(유),3,3.7,13325
스탬프,3,2.0,2409
유누수(주),3,2.3,2828
이토록플랜,3,2.0,0
코드아이디어(주),3,4.0,3932
플렉스웹,3,3.7,3259
(주)다름테크,2,4.0,3614
(주)에프에스엔아시아코리아,2,3.0,0
오로라디자인랩(주),2,4.5,2791
클레버티지,2,3.0,3900
플랜에이,2,3.0,0
한봄스튜디오,2,5.0,0
(주)디쓰리네트웍스,1,1.0,3315
(주)블루라임커뮤니케이션즈,1,4.0,0
EIN COMMUNICATION,1,3.0,0
네디아트웍스(주),1,5.0,0
레드제주,1,4.0,0
스카이디자인(주),1,5.0,0
스프린트,1,4.0,0
피지엠라이프,1,4.0,2368
