,리뷰수(개),평점,평균 연봉(만)
네이버(주),1682,4.0,5939
(주)케이티씨에스,1321,2.8,2958
(주)카카오,1249,3.8,5523
(주)야놀자,1166,2.8,4414
(주)사람인,1010,3.0,4197
(주)케이티아이에스,936,2.6,3025
미드미넷(주),725,3.7,3115
콘센트릭스서비스코리아(유),719,2.5,4485
라인플러스(주),625,3.8,5714
잡코리아 유한책임회사,597,3.1,4273
(주)커리어넷,589,2.6,2753
(주)스펙업애드,570,2.4,2849
넥슨네트웍스(주),562,2.9,3170
나이스평가정보(주),559,3.3,6866
(주)링크프라이스,527,2.5,2825
휴넷(주),526,3.0,3945
여기어때,525,3.0,4103
(주)케이앤웍스,454,2.6,2649
에스케이커뮤니케이션즈(주),414,3.1,4756
(주)엠서클,405,2.4,3783
리디(주),374,3.3,4360
줌인터넷(주),371,2.7,4067
(주)샌드박스네트워크,321,3.1,3959
(주)카카오엔터테인먼트,310,3.2,4953
(주)드림어스컴퍼니,309,2.7,4179
(주)비바리퍼블리카,307,3.6,5522
옐로오투오(주),299,2.1,2706
인크루트알바콜(주),299,2.6,2889
(주)연합뉴스,291,3.4,5501
와디즈,289,2.9,3875
(주)지씨케어,285,2.2,5748
(주)컴파트너스,284,2.3,2567
다음커뮤니케이션(주),283,3.7,4303
케이지모빌리언스(주),283,1.8,3750
더핑크퐁컴퍼니(주),281,2.7,3936
(재)한국특허기술진흥원,276,2.9,3503
틱톡,266,2.6,4594
엔에이치엔케이씨피(주),258,3.0,3860
(주)진학사,256,3.3,3708
(주)인사이트컴퍼니,251,1.6,3117
나무커뮤니케이션(주),246,2.7,2912
(주)하이퍼커넥트,245,3.2,5161
(주)아이패밀리에스씨,241,2.5,2861
구글코리아(유),237,4.3,6991
(주)쿠프마케팅,231,2.3,3500
엔카닷컴(주),229,3.4,4560
소리바다(주),228,2.3,3556
(주)미디어윌네트웍스,226,2.3,3634
마이리얼트립(주),223,3.7,4513
(주)디케이비즈니스,221,2.6,2431
스카우트(주),220,2.6,2847
(주)엘솔컴퍼니,218,2.5,3480
(주)아이엠비씨,210,2.7,3401
(주)디지틀조선일보,209,2.7,3097
(주)빗썸코리아,206,3.2,5308
(주)위버스마인드,201,2.8,3253
(주)버킷플레이스,197,3.8,4794
이데일리(주),192,2.8,3791
(주)레진엔터테인먼트,186,2.9,3900
(주)집토스,183,2.4,3098
(주)슈가힐,180,2.4,3601
(주)케이지제로인,176,2.3,4284
네이버클라우드(주),174,4.1,5873
리파인(주),171,2.3,3603
(주)얍컴퍼니,168,2.7,4052
(주)탑코,166,2.3,3104
이씨플라자(주),166,2.4,2744
(주)투믹스,165,2.7,3105
(주)팍스넷,163,2.1,3571
한국자산평가(주),163,3.2,3940
(주)다노,160,3.3,3531
아이템베이(주),157,2.4,3784
(주)인벤,156,2.4,3048
케이웨더(주),153,2.3,3392
(주)스마트스코어,151,2.2,3896
리뷰플레이스,150,3.2,3831
(주)옐로모바일,149,2.3,3863
(주)마이셀럽스,147,2.8,4189
(주)매경닷컴,145,2.5,3176
(주)데일리,144,3.2,3317
(주)쿠캣,144,2.5,3273
(주)뱅크샐러드,139,3.2,5468
(주)그린웍스,10,3.1,3987
(주)이토마토,138,2.0,3706
(주)헥토이노베이션,138,3.1,4580
교육지대(주),135,2.5,3455
누리미디어(주),135,2.9,3926
(주)크몽,133,3.8,4214
