,리뷰수(개),평점,평균 연봉(만)
(주)티몬,2509,2.8,4172
(주)위메프,2431,2.6,3992
(주)지마켓,1073,3.7,5888
(주)브랜디,608,2.6,3585
(주)커넥트웨이브,567,3.0,3602
롯데쇼핑(주) e커머스사업본부,525,2.8,5440
(주)롯데닷컴,433,3.1,4093
와이즈와이어즈(주),406,2.1,2869
예스이십사(주),396,2.7,4269
(주)공팔리터,381,2.4,3272
(주)제이슨그룹,366,2.0,3338
(주)난다,354,2.9,3152
(주)푸드나무,353,2.3,3144
(주)블랙홀릭,330,2.5,3228
(주)오케이몰,211,3.6,4254
(주)웹이즈,191,2.3,3178
(주)펀엔씨,186,2.2,4478
(주)중고나라,162,2.8,3877
번개장터(주),153,3.5,4335
(주)에이블리코퍼레이션,141,3.0,4067
(주)백패커,136,3.4,3964
(주)브랜드엑스코퍼레이션,132,3.1,4222
(주)티쿤글로벌,130,2.2,3456
(주)씨유기획,123,1.8,2693
(주)스마트인피니,106,2.4,3637
(주)디홀릭커머스,91,2.3,3348
(주)버즈니,89,3.3,4294
(주)지앤지커머스,86,3.0,3386
(주)온누리아이코리아,85,2.3,3131
(주)비엠스마일,82,3.2,3510
(주)젤라또랩,81,2.0,2956
(주)윙잇,80,2.9,3782
(주)부스터스,75,2.9,4155
(주)레몬트리커뮤니케이션,69,2.8,3085
(주)머스트잇,67,3.4,3793
(주)지이씨엘코리아,67,3.1,3151
라쿠텐,64,3.6,5321
(주)지니웍스,63,2.8,3373
(주)엑스바엑스,58,2.4,3477
(주)프레시코드,58,2.4,3598
스팟라이틀리(주),54,2.4,2909
(주)마켓잇,53,3.0,3584
(주)스마일벤처스,52,2.4,3526
(주)골드플레이트,51,2.8,3078
(주)보석같은사람들,50,2.0,3150
옴니피앤씨(주),47,2.0,2668
(주)라포랩스,44,3.3,3684
(주)게이즈,42,2.1,2859
(주)미궁365,42,2.5,3643
(주)유쾌한생각,41,2.7,2788
펫박스(주),40,3.2,3775
(주)위즈니스,39,2.3,2660
(주)구하다,37,3.2,4308
(주)디지털플래닝,34,2.5,2520
(주)트라이그람스코리아,34,1.7,3549
(주)펀앤쇼핑,33,1.4,2467
(주)링크샵스,32,3.1,3492
행복쇼핑(주),32,4.0,3381
(주)가나,31,1.7,2812
(주)올트,31,1.6,3411
(주)마켓보로,27,3.2,4312
(주)글라이드,26,2.8,4056
(주)보험오픈마켓,26,1.7,2667
(주)인디앤드코리아,26,3.3,3082
(주)핀카,25,2.8,3125
(주)단군기획,23,2.6,2868
(주)워로브라더스,23,3.8,3194
(주)올리빙,22,2.0,2288
(주)케이비아이상사,22,2.5,4244
(주)화창코리아,22,3.4,3388
(주)반려동물과사람들,21,2.7,4523
(주)쿨앤쿨,21,2.4,3173
숨코리아,21,1.4,3131
(주)샘빌,20,3.3,4277
(주)오마이선글라스,20,2.4,3388
머지홀딩스(주),20,2.5,4516
송월타올수건이야기(주),20,2.5,3205
(주)퍼플랩스,19,2.2,7168
도드리,19,1.6,2298
(주)바잇미,17,3.6,3735
(주)컨비니,17,3.1,3068
프리젠트(주),17,3.5,2810
에트로,16,1.8,2974
유니온풀(주),16,3.8,3087
(주)로댄어패럴,15,2.7,2603
(주)마리앙,15,2.9,2926
(주)페어링컴퍼니,15,3.1,4192
(주)스퍼셀,14,2.1,2810
(주)일상의친구,14,3.4,3035
(주)바나나코퍼레이션,13,3.6,2955
골드팡,13,2.2,2489
서북코리아(주),13,3.0,2479
(주)브레이브컴퍼니,12,4.1,3994
