,리뷰수(개),평점,평균 연봉(만)
(주)엘지유플러스,2188,3.2,4925
(주)케이티,1970,3.1,5316
에스케이플래닛(주),1054,3.5,5517
요기요,1053,3.0,4588
(주)써머스플랫폼,433,2.5,3277
(주)미디어로그,410,2.9,4080
에스케이오앤에스(주),381,2.9,3271
(주)와이드넷엔지니어링,358,2.4,2721
에스케이브로드밴드(주),357,3.5,5325
(주)야나두,232,2.6,4164
(주)파이오링크,215,3.3,3794
한국정보통신(주),176,3.4,4881
(주)케어랩스,175,2.9,3419
매드업(주),172,3.3,4073
(주)케이에스넷,170,3.1,3822
(주)발란,169,2.7,4461
(주)링네트,167,3.3,4178
(주)엠스텍,160,2.1,2636
(주)와이드모바일,159,2.5,2993
에릭슨엘지(주),149,3.2,5079
콤텍정보통신(주),133,2.7,3862
넛지헬스케어(주),128,2.4,3642
(주)다산네트웍솔루션즈,125,2.0,3816
버드뷰(주),122,3.9,4748
(주)인포바인,121,2.1,3565
(주)아이지에이웍스,120,2.6,3485
(주)퓨쳐시스템,116,2.3,3858
케이엘넷(주),103,2.7,3613
(주)스푼라디오,96,3.2,4759
(주)스마트로,94,3.1,4312
(주)채널코퍼레이션,92,4.0,5587
디딤365(주),92,3.0,3393
(주)밸런스히어로,91,3.0,4726
케이아이에스정보통신(주),91,3.1,4541
(주)비브로스,86,2.7,3895
빙글,81,3.3,3367
(주)에넥스텔레콤,79,1.9,3109
(주)이노피아테크,78,2.9,4040
(주)아이센트,77,2.7,3751
나이스정보통신(주),76,3.7,5919
원스토어(주),76,3.3,6658
(주)엑심베이,69,2.9,3558
(주)에어패스,67,2.4,2808
(주)유니콤넷,62,1.9,2820
(주)즐거운,60,2.8,3542
아임에버(주),60,3.1,2742
(주)엘림넷,58,3.2,3605
(주)이호스트아이씨티,57,3.4,2812
(주)페이게이트,57,2.1,3598
아이씨티웨이(주),56,2.9,3547
드림라인,55,2.9,3793
에스케이텔링크(주),54,3.1,4750
케이디디아이코리아(주),52,2.4,4126
한네트(주),51,2.2,2790
(주)케이티엠모바일,49,2.6,4243
(주)에스브이,48,2.8,3539
안리쓰코퍼레이션(주),48,2.6,4422
(주)가온데이터,44,2.9,3621
(주)제이티넷,43,2.7,3531
스타십벤딩머신(주),43,1.9,2911
(주)띵스플로우,39,3.2,3933
(주)인스코비,39,2.6,6780
(주)케이에스티모빌리티,39,2.5,4360
엑스엔시스템즈(주),39,2.7,3446
(주)케이티샛,38,3.4,5639
(주)라이픽,36,3.2,5063
엔티티코리아(주),35,2.3,4347
(주)아리시스,33,2.6,3722
(주)빗썸라이브,32,2.8,5249
인프라커뮤니케이션즈(주),31,2.7,2641
(주)슈퍼갈땐슈퍼맨,30,2.3,2857
팀윙크(주),30,3.1,4432
한국신용카드결제(주),30,3.0,4374
에스케이테크엑스(주),29,3.6,5292
(주)비플,28,3.0,3245
(주)왈도시스템,28,2.1,2769
비즈톡(주),28,2.3,2993
(주)코밴,26,2.3,4353
