,리뷰수(개),평점,평균 연봉(만)
(주)이스트시큐리티,96,3.2,4243
(주)시큐어원,90,3.0,3214
피앤피시큐어(주),80,3.9,4352
지니언스(주),55,3.5,4751
(주)엔에스에이치씨,46,2.8,3653
(주)리얼시큐,32,2.9,2675
킹스정보통신(주),32,3.2,3319
(주)라바웨이브,29,3.9,3722
(주)씨커스,28,3.5,2503
클라우드브릭(주),21,3.3,3858
(주)시큐어로그,15,4.8,4636
(주)모카시스템,14,4.5,3579
(주)삼문시스템,12,1.3,2746
에스이웍스(주),12,3.8,4942
(주)에이바이트,11,3.1,3763
시큐레터(주),10,3.3,4524
피어스넷(주),10,2.5,2446
(주)스파이스웨어,7,1.4,3837
(주)이지스아이티,7,4.7,2894
(주)코소시스코리아,7,2.7,2625
(주)센스톤,6,2.5,4614
(주)칸나로정보통신,6,2.0,2528
아울시스템즈(주),5,3.4,3251
아이리노테크(주),4,3.5,2988
에스에스앤씨(주),4,2.3,3132
(주)시큐어월,3,4.0,2802
(주)에스투더블유,3,5.0,3765
(주)컴엑스아이,3,4.3,3579
(주)테이텀,2,4.0,4230
(주)대진시큐리티,1,2.0,3579
(주)유인프라,1,2.0,4188
