,리뷰수(개),평점,평균 연봉(만)
(주)엘지씨엔에스,1988,3.2,5332
롯데정보통신(주),1345,2.7,4817
(주)인피닉,831,2.1,2547
현대오토에버(주),795,3.5,5510
(주)미라콤아이앤씨,755,2.9,5100
(주)케이티디에스,704,2.9,4596
(주)비즈테크아이,488,2.7,3470
한국지능정보사회진흥원,371,3.4,3893
오픈타이드코리아(주),327,2.7,3586
메타넷글로벌(유),305,3.0,4761
(주)애드캡슐소프트,288,2.4,3344
쌍용정보통신(주),283,2.6,4068
(주)엔디에스,279,2.5,4374
(주)아사달,262,2.5,3494
(주)디비아이엔씨,255,2.7,5016
대우정보시스템(주),252,2.7,3565
케이씨씨정보통신(주),244,2.7,3721
(주)지니,240,1.8,2900
대신정보통신(주),228,2.6,3861
아시아나아이디티(주),225,2.9,4975
굿어스(주),209,3.1,3649
위니텍(주),200,2.8,3217
굿모닝아이텍(주),197,3.1,3746
(주)에이쓰리시큐리티,180,2.5,3241
씨에이에스(주),176,2.1,3150
에이치엔아이엔씨(주),172,2.6,4478
디비에프아이에스(주),168,2.7,4977
에스넷시스템(주),160,2.9,4074
(주)오픈베이스,158,2.9,3677
(주)오파스넷,155,3.5,3521
에이케이아이에스(주),150,2.7,4245
(주)브이티더블유,148,2.6,4150
(주)아이티센,147,3.1,4057
교보정보통신(주),147,2.9,4652
델인터내셔널(주),147,3.4,5672
평화이즈(주),143,2.8,3645
삼양데이타시스템(주),139,2.3,3917
한화에스앤씨(주),138,3.2,4906
현대정보기술(주),136,2.5,4084
엘지히다찌(주),134,2.5,3800
(주)아이에스에프넷코리아,119,1.9,2479
이랜드시스템스(주),115,2.9,5010
(주)필라넷,111,2.8,3895
(주)라이프시맨틱스,109,2.3,4152
(주)크로니아이티,105,2.8,3424
진두아이에스(주),103,2.6,3602
한국후지쯔(주),103,3.1,4684
(주)에이취큐텍,102,2.0,2317
디에이인포메이션(주),93,2.6,4062
(주)필라웨어,92,2.4,3408
(주)한국네트웍스,92,2.6,4637
(주)에이시에스,90,2.5,3513
(주)버텍스아이디,86,2.2,3471
비디(주),86,2.8,4110
(주)에스큐브아이,84,2.8,3739
동원씨앤에스(주),83,2.6,2684
지엠솔루션(주),82,2.3,3567
(주)클루커스,81,3.7,4900
써티웨어(주),81,2.5,3426
티비스톰(주),78,2.5,4054
(주)씨에스리,75,2.8,4002
티에이케이정보시스템(주),74,2.5,3786
(주)비즈니스인사이트,73,2.6,3765
범일정보(주),73,2.3,2968
(주)소프트넷,72,2.1,3678
(주)파워젠,72,2.5,3390
앤시정보기술(주),72,1.9,2759
(주)에스피씨네트웍스,71,2.5,4686
(주)오픈소스컨설팅,70,2.5,4625
(주)한국신용데이터,69,3.3,5216
(주)아토스,68,2.3,3336
(주)엔코아,64,3.1,5487
바이텍정보통신(주),60,2.9,3895
(주)명품입찰,58,3.0,2944
제이브릿지컴퍼니,58,3.2,2700
메타넷디지털(주),56,3.1,4048
(주)센드버드코리아,54,4.2,6262
