,리뷰수(개),평점,평균 연봉(만)
(주)엔씨소프트,1242,3.6,5432
(주)넥슨코리아,1028,3.8,5158
엔에이치엔(주),768,3.5,4897
넷마블(주),570,3.0,5119
(주)컴투스,526,3.2,4441
(주)네오위즈,474,3.4,4364
아이지에스(주),423,2.4,3009
(주)위메이드,383,2.5,4617
(주)웹젠,367,2.8,3597
(주)크래프톤,317,3.5,5192
(주)골프존,316,3.2,4699
(주)코그,298,3.9,3238
(주)조이시티,262,3.1,4175
(주)그라비티,260,2.5,4303
(주)스마일게이트엔터테인먼트,260,3.4,4783
게임빌(주),241,2.7,4043
트리노드(주),236,2.5,3468
(주)스마일게이트스토브,235,2.2,5266
네오싸이언(주),225,2.1,3536
데브시스터즈(주),211,3.6,4720
(주)무브게임즈,208,2.0,3111
(주)큐로드,204,2.3,3137
한빛소프트(주),200,2.6,3144
코코네엠(주),186,2.3,3522
드래곤플라이(주),178,2.1,3946
엑스엘게임즈(주),177,3.3,4058
아이덴티티게임즈(주),169,2.6,3736
라인게임즈(주),166,2.9,4535
(주)네오플,144,3.7,4534
엠게임(주),142,2.6,3080
(주)위메이드플레이,139,3.3,4322
넷마블몬스터(주),139,2.6,4125
(주)게임덱스,137,2.7,2806
(주)와이디온라인,133,2.1,3540
(주)밸로프,131,2.2,3152
(주)네시삼십삼분,119,2.7,4374
(주)액토즈소프트,119,2.5,3789
카카오게임즈(주),119,3.0,4337
일렉트로닉아츠코리아(유),115,3.6,6786
아이엠씨게임즈(주),114,2.7,3237
(주)베스파,113,2.4,4274
(주)하이브로,112,3.2,4590
(주)더블유게임즈,109,3.3,4543
티쓰리엔터테인먼트(주),108,2.2,3548
포켓몬코리아(주),105,1.6,2946
(주)제페토,99,3.0,3847
(주)쿡앱스,99,3.5,4473
엔에이치엔서비스(주),94,2.6,2521
(주)스마일게이트홀딩스 메가포트지점,89,2.9,5332
(주)달콤소프트,88,2.4,3068
(주)엔픽셀,88,2.8,5181
엘엔케이로직코리아(주),88,2.0,2928
(주)마상소프트,87,2.4,2555
넷마블네오(주),84,3.1,4615
미디어웹(주),84,2.9,3419
(주)액션스퀘어,83,3.7,4239
(주)스마일게이트알피지,81,3.6,4755
(주)나딕게임즈,79,2.7,3493
(주)스코넥엔터테인먼트,79,2.5,3065
지니프릭스(주),79,1.9,3238
(주)갈라랩,78,2.4,3135
(주)플레이위드,78,2.1,3638
라이엇게임즈코리아,77,4.4,6078
넥슨지티(주),76,3.5,4516
(주)게임빌컴투스플랫폼,74,3.0,4722
(주)휴먼웍스,74,3.0,2998
(주)노크노크,67,2.3,2387
디지털프로그(주),67,2.0,2499
(주)소프톤엔터테인먼트,66,1.9,3254
(주)에이스프로젝트,64,4.1,3424
(주)이스트게임즈,64,2.7,3834
올엠(주),64,2.5,3344
(주)로드컴플릿,63,3.0,3845
(주)넥스쳐,62,2.4,3494
(주)와이제이엠게임즈,61,2.4,3682
(주)모비릭스,60,2.7,3342
(주)미투온,60,2.3,3231
(주)룽투코리아,59,2.6,3136
(주)코원플레이,57,2.8,3872
소프트닉스(주),57,2.8,3639
(주)네오위즈플레이스튜디오,56,3.1,4304
엔트리브소프트,56,2.8,4261
(주)준인터,55,2.3,2578
레드덕(주),54,2.8,3917
(주)더블다운인터액티브,53,2.8,4396
(주)스파이더크래프트,52,2.1,3755
넷마블에프앤씨(주),51,3.5,4767
씨씨알(주),51,2.0,4348
(주)엔드림,48,3.0,4136
네이버 라인 플레이,48,3.5,4414
블루사이드(주),48,1.9,3751
라온엔터테인먼트(주),47,3.0,2981
(주)민커뮤니케이션,46,2.2,3018
(주)베이글코드,46,4.1,4361
엔타즈(주),45,2.6,2741
이노스파크(주),44,2.3,2931
(유)체리츠,43,1.6,3537
(주)위메이드엑스알,43,2.5,3734
(주)바른손이앤에이,40,2.3,3735
(주)웹젠온네트,40,2.7,3523
스카이피플(주),40,2.0,3195
(주)유티플러스인터랙티브,39,2.7,3774
(주)슈퍼캣,38,3.1,4581
(주)플레이위드게임즈,36,2.1,3821
앱디스코(주),36,2.3,3067
(주)버티고우게임즈,35,2.8,3943
(주)넥슨게임즈,34,4.3,4776
(주)멘티스코,33,2.2,4071
(주)아이닉스소프트,32,2.5,3436
게임로프트(주),32,2.8,5566
투바이트(주),32,2.7,3329
(주)해긴,31,3.1,3737
크레이지다이아몬드(주),31,2.4,2897
(주)넵튠,30,3.3,4356
(주)호두랩스,28,2.4,3764
(주)유시스트,27,2.2,3126
(주)채플린홀딩스,27,2.6,3466
재미인터랙티브(주),27,1.5,2384
(주)덱스인트게임즈,26,3.0,4065
(주)스마일게이트게임즈,26,3.2,4974
(주)프렌즈게임즈,26,2.9,4124
소소(주),26,1.8,3108
아레나캐스트(주),26,1.9,3044
엔도어즈(주),25,3.4,4022
케이넷피,24,1.5,2625
(주)네오위즈블레스스튜디오,23,2.9,3568
(주)뉴딘콘텐츠,23,3.2,3676
(주)수퍼트리,23,2.9,2977
(주)핸디커뮤니케이션즈,23,3.0,2986
동양온라인(주),23,2.4,4054
(주)파프리카인더스트리,22,2.4,3865
머지플러스(주),22,2.4,3870
슈퍼센트(주),22,2.5,3853
(주)슈퍼크리에이티브,21,4.0,4230
(주)플라이셔,21,3.6,4540
세가퍼블리싱코리아,21,2.8,4205
(주)스포피드,20,3.0,4765
(주)아몬드소프트,20,2.8,2668
(주)안드로메다게임즈,20,2.1,3791
바른손게임즈(주),20,2.6,2475
(주)님블뉴런,19,3.4,3596
미지아이엔지(주),19,1.8,3085
카본아이드,19,4.1,4601
컴퍼니원헌드레드,19,2.6,3780
(주)게임듀오,18,2.5,4038
(주)이브이알스튜디오,18,3.8,3960
(주)하운드13,18,1.7,4395
다음게임(주),18,1.7,3909
엠콤(주),18,2.9,3880
인플레이인터렉티브(주),18,2.7,5027
제이에스씨(주),18,2.6,2627
(주)넥슨레드,17,3.6,4317
(주)애프터타임,17,1.4,2453
엔크루엔터테인먼트(주),17,3.1,2608
쿤룬코리아(주),17,1.8,3231
(주)루노소프트,16,3.4,4031
엔에이치엔스타피쉬(주),16,2.0,3345
얄리(주),15,1.9,2347
와이즈캣(주),15,2.9,3494
케빈랩(주),15,2.5,3704
노아시스템(주),14,2.0,2486
맥스온소프트(주),14,3.1,3052
소프트맥스(주),14,2.7,4726
에스디엔터넷(주),14,2.7,2106
에이앤비소프트(주),14,2.1,3264
(주)모프인터랙티브,13,3.6,3132
(주)에픽스튜디오,13,3.4,3113
(주)플레이하드,13,4.3,3411
(주)이제이엔,12,2.3,4573
어썸피스,12,4.0,3131
(주)아이톡시,11,4.0,3081
게임어스(주),11,2.2,2137
마이에트엔터테인먼트(주),11,4.0,3650
하이원엔터테인먼트(주),11,2.5,4000
(주)너디스타,10,3.3,3470
(주)솔루터스,10,2.4,2867
(주)수퍼브,10,3.2,3331
넥스터(주),10,2.9,4977
디엔에이서울(주),10,2.7,5008
미래커뮤니케이션(주),10,1.5,2298
블루페퍼(주),10,2.5,2789
지우게임즈(주),10,2.2,2986
캡콤엔터테인먼트코리아(주),10,2.7,4527
픽토소프트(주),10,2.7,3655
(주)네스바인,9,2.9,3365
(주)비주얼샤워,9,3.4,2811
(주)원유니버스,9,2.9,3251
(주)투핸즈게임즈,9,3.3,5434
인터세이브(주),9,1.3,2298
팀42(주),9,4.4,3923
팜플,9,3.7,3829
페퍼콘(주),9,3.2,3400
폴리곤게임즈(주),9,3.2,4011
핀콘(주),9,4.0,3664
레이드몹(주),8,2.3,3928
리로디드스튜디오(주),8,3.4,5541
애니파크(주),8,2.9,3872
엔소울즈(주),8,3.1,3084
이야소프트(주),8,2.6,3386
트라이디커뮤니케이션(주),8,3.4,2870
(주)게임하이,7,3.3,3506
(주)겜브릿지,7,1.9,2704
(주)에이치투인터렉티브,7,3.3,2755
(주)캐논크래커,7,3.4,3653
(주)투디씨,7,4.0,4008
네오액트(주),7,4.1,3982
다다소프트(주),7,2.9,3048
엔에스스튜디오,7,2.3,3306
엔플루토(주),7,4.1,2988
엔필(주),7,3.3,2866
유소프테이션(주),7,2.6,3540
이츠게임즈(주),7,2.4,4927
(주)게임스프링,6,3.3,2454
(주)제제컴즈,6,2.2,2531
메이플라워엔터테인먼트(주),6,2.8,2456
쏘뉴(주),6,3.0,3007
(주)나인아크,5,3.8,3978
(주)더마르스,5,3.6,3653
(주)지지큐컴퍼니,5,5.0,2340
(주)플레이독소프트,5,3.4,4837
게임데이(주),5,2.8,2428
로지웨어(주),5,2.6,3781
모비클(주),5,2.8,2298
빅포게임즈(주),5,3.0,2833
에프투시스템(주),5,2.6,4973
엔비어스(주),5,3.4,4526
크루즈코리아(주),5,1.8,3213
펀플로(주),5,4.4,5018
플레이포게임즈(주),5,1.8,3110
(주)라이온하트스튜디오,4,4.5,4545
(주)블랙스팟스튜디오,4,1.5,3653
(주)플레이링스,4,4.0,4515
5CA,4,2.8,3653
레인보우야드(주),4,3.3,3908
소프트빅뱅(주),4,3.3,3636
스튜디오이엑스(주),4,3.5,3460
오로라게임즈(주),4,2.0,2400
코코소프트,4,4.8,4798
(주)구르는돌,3,3.0,2813
(주)넥스다임,3,3.0,3653
(주)데브캣,3,3.7,4038
(주)모티프,3,3.0,4863
(주)언택아이시티,3,1.7,2962
(주)엔스텝,3,4.3,3653
(주)엔플게임즈,3,3.7,3579
(주)창운코리아,3,2.7,3653
(주)펠릭스랩,3,3.3,3653
(주)피비컴,3,3.3,3653
STplay,3,2.7,3050
매직스(주),3,1.7,3156
바닐라브리즈,3,3.3,3653
비스킷크리에이티브(주),3,1.0,2670
비에이치게임즈(주),3,2.7,2925
스케인글로브(주),3,3.7,4366
아이엔게임즈(주),3,1.0,2255
에이시티게임즈(주),3,3.0,3653
엑스포테이토(주),3,3.7,2190
엔티게임즈(주),3,1.0,3295
엔티엘인크(주),3,3.0,3895
캔소프트,3,1.7,6435
코드엠(주),3,4.3,3653
플레이웍스(주),3,3.3,3329
(주)겜플리트,2,5.0,3304
(주)니트로스튜디오,2,5.0,3653
(주)더블다운게임즈,2,5.0,4001
(주)루니미디어,2,3.5,3653
(주)모비딕게임즈,2,3.0,3472
(주)플레이파크,2,4.5,2773
강게임즈(주),2,5.0,2925
라온플러스(주),2,3.5,3653
로지웍스(주),2,1.0,3099
씨제이게임랩(주),2,2.5,2409
에픽게임스코리아,2,5.0,3653
엔픽모바일(주),2,1.5,2460
위고인터랙티브(주),2,3.5,3583
유비소프트엔터테인먼트,2,2.0,4001
체이스온라인컴퍼니코리아,2,2.5,6339
턴온게임즈(주),2,3.5,3600
플레이너리(주),2,3.0,4975
핑크팩토리(주),2,3.0,2925
한국게임과학고등학교,2,2.0,2637
(주)나유니버스소프트,1,5.0,3653
(주)나인엠인터랙티브,1,3.0,4273
(주)나인트리,1,5.0,2592
(주)드림모션,1,3.0,3607
(주)베슬에이아이코리아,1,5.0,3653
(주)시소,1,4.0,3653
(주)씨에스에스,1,1.0,3653
(주)원컴즈,1,2.0,3653
(주)지지틱스,1,4.0,3653
"Wemade Online Co., Ltd.",1,3.0,3217
갤럭시게이트(주),1,3.0,3653
골프메카(주),1,1.0,3653
그린몬스터(주),1,5.0,2925
네오리스(주),1,2.0,4477
노리아(주),1,3.0,2925
마하팩토리(주),1,5.0,3653
미디어박스(주),1,3.0,2925
민코넷(주),1,3.0,3653
바이너리(주),1,4.0,3653
버텍스게임즈(주),1,4.0,2438
스포츠러쉬,1,4.0,3653
애피타이저게임즈(주),1,5.0,3653
앱프리카(주),1,2.0,2340
에이블링(주),1,2.0,2048
엔틱게임즈(주),1,5.0,2320
자이언트드림(주),1,2.0,3060
쿠키소프트(주),1,3.0,3680
틴로봇(주),1,5.0,2992
포인터스(주),1,4.0,2340
포플랫(주),1,4.0,3995
