,리뷰수(개),평점,평균 연봉(만)
SK텔레콤(주),1043,4.0,6698
(주)인라이플,1013,2.8,3778
(주)케이티알파,802,2.8,4733
팅크웨어(주),576,2.7,3882
(주)와이즈스톤,484,2.0,2452
신세계아이앤씨(주),467,2.9,5002
코나아이(주),438,2.4,4291
(주)오토소프트,341,2.2,2643
테스트이앤씨(주),323,2.5,2627
(주)디지털다임,317,2.7,3393
(주)유엔에이엔지니어링,304,2.5,2821
다날(주),302,3.0,4054
(주)카카오엔터프라이즈,292,3.4,6501
케이원정보통신(주),283,2.1,2585
가비아(주),275,3.5,4457
대보정보통신(주),272,2.4,3673
더화이트커뮤니케이션(주),261,2.5,3243
(주)그린랩스,254,2.8,5047
(주)키위컴퍼니,236,2.2,3273
(유)미소,232,2.7,3737
인포뱅크(주),217,3.0,3902
한국지역정보개발원,203,2.7,4131
(주)썬더소프트코리아,180,2.6,3828
(주)카카오모빌리티,169,3.7,5840
플리토(주),164,3.1,3745
(주)엔비티,163,2.3,4516
시스게이트(주),163,2.5,2574
(주)패스트뷰,162,2.8,3286
(주)바로고,158,3.4,4258
(주)인성정보,151,3.1,3982
(주)유호스트,135,2.5,3086
(주)와이즈버즈,134,3.3,3835
(주)미리디,127,3.1,3334
두산정보통신(주),126,3.2,5556
(주)알체라,123,3.0,4510
키즈룹(주),120,2.3,4102
(주)브레이브모바일,119,3.6,4179
(주)퀸즈코퍼레이션,115,2.3,2632
이와이드플러스(주),108,2.1,2752
(주)정글엠앤씨,107,2.6,2788
(주)마켓디자이너스,106,3.1,3910
(주)버즈빌,103,4.0,4724
(주)지바이크,103,2.8,3415
(주)핫셀러,103,4.4,4675
(주)딥브레인에이아이,101,3.2,4309
(주)에임드,95,3.0,3453
후오비(주),89,2.1,4437
(주)엔글,88,3.3,2883
카닥,88,2.6,4546
(주)뉴링크,85,3.0,3223
(주)자란다,76,3.3,4293
(주)소프트파워,73,2.0,2748
(주)펫닥,73,2.6,3714
씨앤토트(주),73,2.8,3934
(주)엔씨엘,72,2.2,2720
두나무(주),69,4.3,6147
(주)델레오코리아,68,2.4,4400
(주)딜리셔스,65,3.2,4736
로지스팟(주),64,2.7,3703
(주)리얼야구존,61,2.6,3478
(주)아이티언,61,2.9,3552
(주)오픈서베이,61,3.8,4798
(주)이큐브랩,61,2.9,3569
(주)유투바이오,60,2.7,3158
(주)페이히어,60,3.0,4362
(주)아이스앤브이,59,2.4,3248
(주)지메이트시스템즈,59,2.8,2550
테이블링(주),57,3.8,3580
(주)렌딧,55,3.1,4694
(주)엔이에스,54,1.9,3081
(주)파운트,54,3.1,3988
(주)폴라리움,54,2.5,4170
튠시스템(주),53,1.8,2785
(주)스마일서브,52,2.8,3358
(주)팬택씨앤아이,52,2.8,4244
(주)데이블,51,4.0,4971
(주)헤리트,51,3.0,3439
(주)다인리더스,50,2.4,2989
아슈리온코리아(유),50,3.3,5788
(주)그렙,49,3.1,4893
(주)벤디스,48,3.0,3924
엔파인(주),48,2.8,3035
(주)마블러스,46,3.2,4364
한국축산데이터(주),46,3.1,3900
(주)에이비일팔공,45,4.2,4407
(주)이셀러스,45,2.8,2744
(주)오토위니,44,3.1,3087
리얼네트웍스아시아퍼시픽(주),44,3.0,5125
카테노이드(주),44,3.6,4233
(주)깃플,43,2.6,4420
데이터워즈코리아(유),43,3.1,4515
(주)소프트스퀘어드,42,4.2,3955
(주)피플인사이드,42,2.9,3154
(주)바잉스퀘어,41,2.8,4448
(주)오토핸즈,41,3.2,3458
(주)휴먼스케이프,41,3.4,4783
(주)더휴먼플러스,39,2.0,4195
(주)씨앤아이테크,39,1.9,3916
