,리뷰수(개),평점,평균 연봉(만)
삼성전자(주),9391,3.8,5468
LG전자(주),6647,3.1,5317
엘지디스플레이(주),3819,3.1,5021
현대자동차(주),3759,3.9,5753
엘지이노텍(주),3215,3.4,4988
CJ제일제당(주),2816,2.9,4239
한국전력공사,2546,3.9,4180
(주)LG화학,2212,3.5,5163
에스케이하이닉스(주),2145,3.6,5093
에이치디현대중공업(주),2073,2.9,4975
(주)아모레퍼시픽,1950,3.5,5235
앰코테크놀로지코리아(주),1911,2.7,3826
삼성중공업(주),1904,2.8,4891
삼성에스디아이(주),1790,3.4,5059
포스코홀딩스(주),1645,3.3,5527
배스킨라빈스 (매장),1635,3.5,3247
(주)이랜드월드,1604,2.6,4373
(주)케이씨씨,1570,2.6,4689
한화오션(주),1391,3.1,4736
삼성전기(주),1369,3.4,4719
현대모비스(주),1306,3.5,5695
현대제철(주),1255,2.9,5531
기아(주),1193,4.0,5694
(주)엘지생활건강,1176,3.2,5127
(유)스태츠칩팩코리아,1160,2.6,3781
두산에너빌리티(주),1159,3.3,5914
(주)바디프랜드,1151,2.8,3465
한국수력원자력(주),1141,4.0,5521
(주)와이지-원,1129,1.8,3648
(주)유라코퍼레이션,1117,2.9,4783
삼성디스플레이(주),1079,3.4,5244
(주)동원에프앤비,1073,2.4,4178
(주)LF,1036,3.1,5305
(주)코리아써키트,988,2.5,4051
세아상역(주),969,3.0,4832
한국콜마(주),963,2.6,4218
삼성엔지니어링(주),950,3.2,6130
해태제과식품(주),941,2.3,3229
(주)오뚜기,914,2.5,4100
캐논코리아(주),871,2.7,3912
한솔섬유(주),839,2.5,4980
한국수자원공사,832,3.5,4080
에스엘(주),824,2.9,5502
에이치디현대인프라코어(주),794,3.3,5814
롯데웰푸드(주),793,2.5,4142
르노코리아자동차(주),793,2.9,4772
코스맥스(주),793,2.7,4288
한국후지필름비즈니스이노베이션(주),791,2.4,3840
대상(주),779,3.3,4320
샘표식품(주),773,2.6,3526
(주)파리크라상,760,2.7,4505
유니셈(주),748,2.3,3251
한세실업(주),746,2.6,5108
크린팩토메이션(주),732,3.1,3528
금호타이어(주),729,2.8,4597
(주)경동나비엔,727,2.5,4788
에스케이실트론(주),719,3.0,4553
한국에스지에스(주),715,3.0,3553
(주)일진글로벌홀딩스,712,3.1,4922
(주)효성,710,2.7,4947
(주)에이블씨엔씨,709,2.5,4366
한국항공우주산업(주),702,3.7,5794
(주)모베이스전자,698,2.0,4777
(주)엘엑스하우시스,693,3.2,5109
오비맥주(주),686,3.2,5697
현대트랜시스(주),684,3.2,5658
롯데칠성음료(주),677,2.6,4237
한국단자공업(주),677,2.6,4254
(주)미미박스,674,2.7,3632
(주)네패스,672,2.8,4080
(주)한화,671,3.0,5245
삼양식품(주),667,2.6,4023
(주)테크윙,666,2.2,3522
에이치엘만도(주),663,3.1,5861
영풍전자(주),88,1.8,3625
(주)동진쎄미켐,655,2.2,4301
(주)엘앤에프,655,2.5,4125
남양유업(주),653,2.5,4652
(주)농심,650,2.9,4162
동우화인켐(주),646,3.4,4809
코오롱인더스트리(주),645,3.2,5171
도쿄일렉트론코리아(주),642,3.8,4389
매일유업(주),640,3.0,4624
(주)네이처리퍼블릭,636,2.3,3590
대덕전자(주),636,2.9,4513
한화큐셀앤드첨단소재(주) 큐셀부문,630,2.7,4002
