,리뷰수(개),평점,평균 연봉(만)
한미약품(주),1389,2.9,4502
(주)대웅제약,1384,2.7,4628
오스템임플란트(주),1355,2.6,4500
(주)종근당,1154,2.9,4990
의료법인삼성의료재단 삼성서울병원,1111,3.6,4884
삼성바이오로직스(주),934,3.7,4574
(주)녹십자,904,3.1,4543
제일약품(주),904,2.6,4434
한국유나이티드제약(주),871,2.8,3778
국립암센터,854,2.6,3699
(주)셀트리온,837,3.4,4767
서울대학교병원,825,3.2,4454
서울아산병원,817,3.5,4981
에이치케이이노엔(주),814,2.7,4237
JW중외제약(주),726,2.7,4537
(주)덴티움,716,2.1,3911
(주)보령,689,3.1,4787
일동제약(주),594,3.2,5165
(주)씨젠,560,2.9,5339
(주)신흥,525,2.2,3811
분당서울대학교병원,522,3.4,4370
(주)셀트리온제약,521,2.7,4252
대원제약(주),502,3.0,4904
일양약품(주),496,2.4,4197
(주)한독,487,3.3,4697
(주)바이오니아,481,2.5,3395
동국제약(주),480,2.5,4568
(주)마크로젠,478,2.5,3536
한국장애인고용공단,469,3.3,3371
(주)휴온스,466,2.6,4322
(주)아이센스,456,2.9,4060
동아에스티(주),453,3.4,4493
에스티팜(주),449,2.7,4051
광동제약(주),445,3.1,5151
(재)한국의학연구소,439,2.5,3475
(주)한국애보트진단,437,2.7,4500
휴젤(주),431,2.9,4162
바이넥스(주),429,2.6,3726
환인제약(주),423,2.4,4150
유한양행(주),422,3.3,5265
한림제약(주),408,2.8,4535
써모피셔사이언티픽코리아(주),394,2.5,5051
안국약품(주),374,2.5,4390
신풍제약(주),373,2.5,4332
유니메드제약(주),368,2.2,3466
(주)메디톡스,367,2.8,4514
(주)케어젠,362,1.9,3691
(주)와이에스생명과학,354,2.1,3489
한스바이오메드(주),352,2.1,3572
푸르니보육지원재단,351,2.9,2790
에스디바이오센서(주),349,2.4,6265
(주)하이로닉,345,2.9,3819
(사)한국건강관리협회,343,2.7,4327
(주)네오바이오텍,343,2.4,3153
(주)제노스,332,2.5,3581
경동제약(주),331,2.9,4262
(주)경보제약,327,2.5,4520
이연제약(주),324,1.9,3850
(주)오상헬스케어,323,2.1,3947
아주대학교병원,323,3.3,4393
(주)유영제약,322,2.7,4196
(주)에이프로젠바이오로직스,321,2.4,3615
의료법인삼성의료재단 강북삼성병원,320,3.1,4177
(주)서흥,316,2.5,3726
코오롱생명과학(주),313,2.9,4234
프레스티지바이오로직스(주),311,1.6,3679
사회복지법인월드비전,308,3.6,3525
대한적십자사,304,2.5,3337
(주)알피바이오,296,2.2,3546
