,리뷰수(개),평점,평균 연봉(만)
쿠팡(주),6193,3.2,5159
씨제이올리브영(주),3219,3.3,3863
에프알엘코리아(주),2911,3.0,4069
(주)이마트,2718,3.5,4012
(주)한샘,2634,2.5,3700
한국철도공사,2547,3.5,3474
홈플러스(주),2545,2.9,3879
(주)지에스리테일,2112,2.9,4495
씨유 (매장),1574,3.8,2555
(주)비지에프리테일,1543,3.0,4536
롯데쇼핑(주) 백화점사업본부,1527,2.9,4756
씨제이대한통운(주),1497,2.8,4407
(주)현대백화점,1444,3.2,4578
(주)코리아세븐,1439,2.5,3947
(주)교원,1215,2.7,4076
자라리테일코리아(주),1197,2.8,2845
(주)이랜드리테일,1168,2.5,4323
(주)대한항공,1134,3.2,4827
(주)인터파크트리플,1107,2.7,4342
롯데쇼핑(주) 롯데마트사업본부,1082,2.7,4500
삼성에버랜드(주),1038,3.8,3559
(주)아성다이소,1037,2.6,4318
롯데하이마트(주),968,2.6,4300
하이프라자(주),868,2.6,4135
(주)에어코리아,850,2.2,2517
씨제이프레시웨이(주),837,2.7,3841
(주)이디야,834,3.4,3837
(주)서브원,833,2.7,4270
(주)현대그린푸드,802,2.8,4132
삼성전자판매(주),801,3.2,4374
에이치앤엠헤네스앤모리츠(주),787,3.2,3079
데상트코리아(주),777,3.0,4738
엘오케이(유),737,2.8,4681
부루벨코리아(주),731,2.8,3112
(주)컬리,725,2.8,4225
(주)이마트에브리데이,719,2.6,3311
(주)엘엑스판토스,716,3.4,4722
아시아나항공(주),712,3.0,4605
(주)케이티엠앤에스,701,2.3,3224
(주)교보문고,699,3.4,3931
롯데씨브이에스711(주),699,2.6,3445
(주)신세계인터내셔날,698,3.4,5100
이케아코리아(유),663,2.8,3721
(주)코스트코코리아,651,3.1,3503
(사)굿네이버스인터내셔날,643,2.9,3230
(주)우리홈쇼핑,642,3.0,4738
이엘씨에이한국(유),619,2.9,3887
에이케이플라자,616,2.8,4183
(주)한진,613,2.8,4175
(주)현대홈쇼핑,609,3.3,4378
현대글로비스(주),583,3.1,5257
스위스포트코리아(주),574,2.5,2470
(주)씨제이이엔엠 오쇼핑부문,553,3.2,5179
(주)신세계,549,3.6,4895
(주)샤프에비에이션케이,544,2.0,2540
(주)제너시스비비큐,541,2.2,3816
지에스홈쇼핑(주),531,3.2,4939
무인양품(주),529,2.6,2521
한국필립모리스(주),527,3.5,6275
(주)동원홈푸드,520,2.5,3703
경동물류(주),519,1.8,3104
러쉬코리아(주),510,2.9,2943
디에이치엘코리아(주),505,3.3,3860
(주)에이비씨마트코리아,500,2.9,2882
풀무원식품(주),492,3.0,4677
한국쓰리엠(주),456,3.7,6536
지멘스(주),454,3.3,5146
(주)에스에스지닷컴,452,3.4,4972
(주)제주항공,450,3.1,3969
피에스앤마케팅(주),450,2.7,3497
(주)스타럭스,449,2.4,3127
(유)나이키코리아,446,3.4,3824
(주)탐앤탐스,442,2.8,2898
롯데면세점,440,3.3,4853
(주)그린스토어,434,2.1,3243
한국암웨이(주),420,3.3,5875
(주)스타비젼,419,2.8,3384
엘브이엠에치코스메틱스(유),419,2.8,4141
(주)글로벌휴먼스,418,2.3,2542
(주)제로투세븐,414,2.2,3772
(주)무신사,411,2.8,4277
(주)부릉,409,2.8,3826
(주)텐바이텐,407,2.7,3408
에이치엠엠(주),406,3.2,4916
(주)컴퓨존,405,2.5,3226
엔에스쇼핑(주),404,3.1,4407
(주)쉥커코리아,403,3.1,4127
대성산업(주),398,2.5,3841
(주)포스코인터내셔널,390,3.6,6104
다이소 (매장),386,3.3,3075
아디다스코리아(유),377,3.3,5392
에이랜드(주),374,2.3,3051
이스타항공(주),371,2.4,3753
(주)아가방앤컴퍼니,366,1.8,3502
미스터피자 (매장),366,3.0,3032
한국에스엠씨(주),366,2.2,3828
교보핫트랙스(주),365,3.1,3915
(주)엠티콜렉션,362,1.7,3587
부산교통공사,361,4.2,4076
한국화이자제약(주),361,3.6,6154
유한책임회사디캐이,360,2.3,3583
샤넬코리아(유),359,2.6,3749
(주)트라이씨클,356,2.3,3898
(주)카스,355,2.2,3461
비티지(주),354,2.4,3371
(주)케이제이씨디스플레이코퍼레이션,351,1.9,3246
루이비통코리아(유),351,2.6,3150
(주)아이마켓코리아,349,3.2,4370
삼성물산(주) 상사부문,349,3.6,6148
한성자동차(주),347,2.6,3497
(주)비즈마켓,343,2.1,3368
(주)엔터식스패션쇼핑몰,342,2.0,2952
이니스프리(주),342,3.5,4953
코닝정밀소재(주),338,3.8,5089
(주)필립스코리아,337,3.2,5377
한국피앤지판매(유),334,3.0,6932
스와치그룹코리아(주),327,2.2,4094
(주)에프앤디넷,326,2.3,3539
아이쿱 자연드림,326,2.3,3176
(주)티지알앤,321,2.4,2861
(주)그린글로브라인,317,2.3,3098
(주)블랭크코퍼레이션,317,3.3,4218
진에어(주),317,2.8,4044
올림푸스한국(주),314,2.7,4343
(주)비에스케이코퍼레이션,313,2.3,3390
(주)LX인터내셔널,312,3.1,5806
에이치디엑스(주),310,1.8,3329
(주)서원유통,309,2.4,3139
브리티쉬아메리칸토바코코리아(주),309,3.1,5746
(주)한국미스미,308,2.5,3976
(주)리드코프,304,2.2,3127
(주)지피클럽,304,1.8,2995
(주)모나미,303,2.0,3289
(주)홈앤쇼핑,302,3.2,4538
(주)클라우드나인마케팅,301,2.2,3726
아시아나에어포트(주),300,2.2,3809
뉴스킨코리아(주),294,3.2,4820
(주)리치몬트코리아,293,3.0,4141
한국공항공사,291,3.4,4010
(주)아성에이치엠피,290,2.1,4356
(주)더본코리아,288,2.4,3284
(주)메가마트,288,2.4,3970
롯데쇼핑(주),284,3.2,4495
(주)스킨푸드,281,3.0,3832
(주)우아한청년들,281,3.2,4307
(주)케이비원,279,1.8,2896
(주)알라딘커뮤니케이션,277,3.3,3180
(주)한독모터스,277,2.1,2713
