,리뷰수(개),평점,평균 연봉(만)
해커스 교육그룹,3092,2.2,2972.0
(주)동화세상에듀코,1977,2.8,2745.0
(주)에스티유니타스,1453,2.5,3452.0
(주)에듀윌,1358,3.4,3615.0
메가스터디교육(주),1052,2.7,3439.0
(주)대교,933,2.5,3811.0
에듀플렉스 (매장),817,2.7,3400.0
이투스교육(주),784,2.6,3415.0
아발론교육(주),776,2.3,2926.0
한국산업인력공단,628,3.3,3448.0
한양대학교,598,3.2,3456.0
서울대학교,594,3.3,3851.0
(주)한솔교육,560,2.4,3491.0
한국과학기술원,556,3.6,3909.0
(주)파고다아카데미,541,2.7,3284.0
(주)디와이비최선어학원,528,2.5,3591.0
(주)에스제이더블유인터내셔널,484,2.1,3194.0
메가엠디(주),483,2.6,3187.0
(주)멀티캠퍼스,479,3.3,4974.0
해커스어학원(주),478,2.4,3000.0
(주)크레버스,468,2.4,3816.0
데이원컴퍼니(주),436,2.8,3833.0
조선대학교,429,3.5,3246.0
SBS아카데미컴퓨터아트학원,425,2.6,2957.0
건국대학교,421,3.2,4928.0
성신여자대학교,395,3.2,3468.0
(주)케이지에듀원,393,2.3,3215.0
연세대학교,393,3.4,4117.0
인지어스(유),384,3.0,2611.0
(주)캐럿글로벌,365,3.0,3354.0
월스트리트인스티튜트코리아(주),349,2.3,2545.0
경기대학교,335,3.4,3483.0
영남대학교,333,3.5,4775.0
동아대학교,331,3.4,3865.0
중앙대학교,327,3.2,4041.0
한국표준협회,323,3.3,5129.0
(주)와이비엠에듀,322,2.5,3100.0
(주)디쉐어,316,3.3,3853.0
세종대학교,316,3.3,3540.0
(주)챔프스터디,315,1.8,3105.0
고려대학교,313,2.8,4300.0
순천향대학교,307,2.9,3262.0
와이비엠시사닷컴(주),306,2.5,2906.0
아주대학교,305,3.2,3937.0
성균관대학교,302,3.0,4415.0
(주)좋은책신사고,300,2.0,3936.0
홍익대학교,294,3.2,4047.0
(주)아이지엠세계경영연구원,292,2.4,3635.0
경희사이버대학교,285,2.7,3529.0
명지대학교,282,3.3,3204.0
계명대학교,270,3.5,3711.0
(주)씨엠에스에듀,269,2.5,3081.0
(주)정상제이엘에스,268,3.0,3648.0
청담어학원 (매장),263,2.7,2809.0
한림대학교,253,2.6,3111.0
(주)에듀스파박문각,243,2.7,2859.0
숙명여자대학교,243,3.3,3380.0
(주)한솔요리학원,241,2.3,2641.0
동의대학교,241,3.3,4482.0
한남대학교,240,3.4,3489.0
한성대학교,236,3.1,3341.0
단국대학교,235,3.3,4537.0
국민대학교,231,3.3,3755.0
(주)파고다에스씨에스,228,2.3,3223.0
(주)코리아교육그룹,221,2.6,2904.0
상명대학교,221,3.3,3429.0
인하대학교,220,3.5,4909.0
대구대학교,219,3.6,3936.0
인제대학교,217,2.8,3516.0
우송대학교,216,3.0,2467.0
청주대학교,214,3.1,3831.0
원광대학교,211,3.4,3642.0
한국방송통신대학교,209,3.1,2638.0
남서울대학교,204,2.7,2687.0
한국문화예술교육진흥원,204,2.6,2903.0
부경대학교,201,3.7,2791.0
(주)와이비엠넷,191,2.6,3211.0
(주)코드스테이츠,191,3.2,4188.0
숭실대학교,188,3.3,4149.0
폴리어학원,188,2.5,2472.0
(주)와이제이에듀케이션,186,1.7,2583.0
대전대학교,184,3.0,3581.0
(주)디지털대성,183,2.8,3482.0
광주과학기술원,183,3.6,4770.0
서울사이버대학교,183,2.3,3237.0
덕성여자대학교,179,3.0,3529.0
포항공과대학교,172,3.2,4831.0
(주)잇올,171,2.8,3616.0
울산과학기술원,171,3.4,4432.0
동서대학교,168,3.3,3021.0
SBS아카데미게임학원,167,2.8,2444.0
광운대학교,167,3.3,3281.0
한국교육과정평가원,167,3.7,5465.0
(주)이디엠에듀케이션,166,3.5,3450.0
서울시립대학교,158,3.3,3523.0
(주)티티씨에듀,157,1.9,2769.0
올댓뷰티아카데미,155,2.2,3074.0
지아이티아카데미(주),153,2.5,3009.0
충남대학교,153,3.5,3308.0
서강대학교,147,3.4,4335.0
(주)아이비김영,146,2.4,3250.0
한국외국어대학교,146,3.5,4610.0
(주)폴리인스퍼레이션,145,2.7,3939.0
부천대학교,142,3.2,3402.0
코리아IT아카데미,138,2.2,2542.0
코리아요리아트아카데미,138,2.4,2482.0
계명대학교 산학협력단,137,3.1,2359.0
(유)씨앤씨미술교육지원센터,136,2.5,2676.0
(주)아토스터디,133,2.3,2650.0
(주)단비교육,132,3.1,3715.0
한국국제학교,132,1.9,2876.0
한국기술교육대학교,130,3.3,3452.0
(주)하이컨시,128,3.0,3935.0
한양사이버대학교,127,3.4,4469.0
(주)순수교육,123,2.3,2951.0
한국짐보리(주)짐월드,123,2.2,2981.0
국가평생교육진흥원,122,2.6,3548.0
전북대학교,122,3.3,2808.0
명지전문대학교,121,3.1,4488.0
이에프에듀케이션퍼스트코리아(주),121,2.7,3770.0
(주)프리윌린,120,3.0,3840.0
잉글리쉬앤(주),120,2.2,2593.0
서울대학교 대학원,119,3.1,1716.0
인키움(주),119,2.8,3057.0
(주)더조은아카데미,118,2.4,2498.0
(주)티엠디교육그룹,117,2.7,2757.0
(주)민병철교육그룹,116,2.8,3408.0
(주)지식과미래,115,2.1,3414.0
(주)현대경제연구원,115,3.2,4487.0
이코랜스(주),115,3.2,2934.0
(주)대교에듀캠프,114,2.3,3188.0
(주)데이원컴퍼니 레모네이드,113,2.3,3878.0
(주)에듀라인,113,2.0,2778.0
(주)지일이삼공교육,113,2.7,3046.0
(주)타임컨텐츠,112,2.6,3260.0
HIENGLISH KOREA,110,3.0,2664.0
(주)다락원,109,2.7,2853.0
(주)이지수능교육,107,2.7,3261.0
인천영어마을,106,2.6,2566.0
(주)링구아교육 링구아어학원,105,3.4,2810.0
안양대학교,102,2.8,3780.0
(주)창의와탐구,100,2.5,3165.0
상지대학교,100,2.6,2985.0
(주)트니트니,99,2.2,2994.0
서울디지털대학교,99,2.6,3625.0
경동대학교,95,1.8,2584.0
삼육대학교,95,3.4,3462.0
(주)하이미디어아카데미,94,2.1,2230.0
영남이공대학교,94,2.9,3611.0
(주)씨에스엠앤이,93,2.2,2863.0
성결대학교,93,2.9,3994.0
에스이사이버평생교육원,90,2.6,3107.0
제주대학교,90,3.4,3198.0
(주)비즈엠코리아웍스,87,3.7,2799.0
(재)한국노인인력개발원,86,2.5,3404.0
잇올스파르타 (매장),85,2.1,2718.0
글로리아교육재단(주),82,2.3,2515.0
째깍악어(주),82,3.1,3904.0
메가랜드(주),80,1.7,3279.0
새이솔(주),80,2.3,3410.0
청강문화산업대학교,80,2.2,3617.0
디지털서울문화예술대학교,78,2.6,2797.0
빅픽처인터렉티브(주),78,3.1,3814.0
용감한컴퍼니(주),78,3.0,3101.0
자라다남아미술연구소 (매장),77,2.5,2366.0
(주)피엠디아카데미,76,2.3,2726.0
한신대학교,76,3.3,3609.0
(주)비상엠러닝,75,2.4,3602.0
(재)서울창조경제혁신센터,73,2.2,3825.0
(주)알파코,73,2.8,3483.0
(주)코어교육,73,2.6,3323.0
대진대학교,73,3.3,2872.0
한경대학교,73,3.4,3719.0
(주)디랩,72,2.8,2956.0
(주)채움에이치알디,72,1.7,2522.0
부산경상대학교,72,2.2,2585.0
고려사이버대학교,71,2.7,4097.0
(주)고려아카데미컨설팅,70,2.9,3353.0
동서울대학교,69,3.4,2386.0
마루국어학원,68,2.3,3398.0
토피아에듀케이션(주),68,2.8,2986.0
(주)글로벌콘텐츠리퍼블릭,64,1.9,2664.0
(주)다인,62,2.1,3005.0
(주)아메리카요가,62,2.3,2793.0
(주)에듀피디,62,3.5,3603.0
한동대학교,62,3.2,4038.0
와이즈멘토,61,2.6,2690.0
한국금융연수원(사),61,3.1,6546.0
평택대학교,59,2.6,2765.0
시사일본어학원(주),58,2.4,2528.0
김영편입학원(주),57,3.0,3105.0
대교에듀피아(주),57,1.8,3585.0
에스비사이버평생교육원,56,1.9,2411.0
한국공정거래조정원,56,3.6,4167.0
한양대학교 대학원,56,3.2,3494.0
(주)멋쟁이사자처럼,54,3.3,3744.0
(주)이챕터스,54,3.1,2419.0
(주)오누이,52,3.1,4260.0
포항공과대학교대학원,52,3.6,2916.0
(주)프라미스에듀,51,3.2,2720.0
(주)디딤돌교육,50,2.7,3147.0
랭콘잉글리쉬,50,2.5,2655.0
