,리뷰수(개),평점,평균 연봉(만)
(주)티몬,2509,2.8,4172
(주)위메프,2431,2.6,3992
(주)엘지유플러스,2188,3.2,4925
삼성에스디에스(주),2043,3.5,5939
(주)엘지씨엔에스,1988,3.2,5335
(주)케이티,1970,3.1,5316
네이버(주),1682,4.0,5939
(주)더존비즈온,1497,2.4,4025
효성아이티엑스(주),1364,2.8,3238
롯데정보통신(주),1345,2.7,4817
(주)케이티씨에스,1321,2.8,2958
(주)카카오,1249,3.8,5523
(주)엔씨소프트,1242,3.6,5432
카페24(주),1200,3.4,4366
(주)야놀자,1167,2.8,4414
씨제이올리브네트웍스(주),1081,3.0,4800
(주)지마켓,1073,3.7,5888
에스케이플래닛(주),1054,3.5,5517
요기요,1053,3.0,4588
SK텔레콤(주),1043,4.0,6698
(주)넥슨코리아,1028,3.8,5158
(주)안랩,1028,3.5,4415
(주)인라이플,1013,2.8,3778
(주)사람인,1010,3.0,4197
(주)케이티아이에스,937,2.6,3025
한국아이비엠(주),882,3.2,5166
(주)인피닉,831,2.1,2547
(주)우아한형제들,825,3.8,5209
(주)티맥스소프트,822,2.8,4666
(주)케이티알파,802,2.8,4732
현대오토에버(주),795,3.5,5510
엔에이치엔(주),768,3.5,4897
(주)미라콤아이앤씨,755,2.9,5100
미드미넷(주),725,3.7,3115
콘센트릭스서비스코리아(유),719,2.5,4485
(주)이글루코퍼레이션,704,2.7,3478
(주)케이티디에스,704,2.9,4596
(주)코리아센터,689,2.6,3687
(주)신한디에스,643,2.7,4877
라인플러스(주),625,3.8,5714
(주)브랜디,608,2.6,3584
잡코리아 유한책임회사,598,3.1,4273
한전케이디엔(주),594,3.4,3689
(주)커리어넷,589,2.6,2753
팅크웨어(주),576,2.7,3883
에스케이(주),575,3.6,5614
(주)다우기술,572,3.4,4673
(주)마이다스아이티,570,3.3,4913
(주)스펙업애드,570,2.4,2849
넷마블(주),570,3.0,5119
(주)커넥트웨이브,568,3.0,3602
넥슨네트웍스(주),562,2.9,3170
나이스평가정보(주),559,3.3,6866
에스케이엠앤서비스(주),552,2.9,3983
엘에스산전(주),550,3.5,5250
(주)링크프라이스,527,2.5,2826
휴넷(주),526,3.0,3948
(주)컴투스,525,3.2,4438
롯데쇼핑(주) e커머스사업본부,525,2.8,5440
여기어때,525,3.0,4106
티시스(주),519,2.4,4467
(주)지에스아이티엠,512,2.5,4713
(주)비즈테크아이,488,2.7,3471
(주)디케이테크인,486,2.6,3522
(주)와이즈스톤,484,2.0,2452
(주)네오위즈,474,3.4,4364
(주)아이파트너즈,470,2.4,3516
엔테크서비스(주),468,3.6,3786
신세계아이앤씨(주),467,2.9,5003
메가존(주),464,2.7,4093
(주)케이앤웍스,454,2.6,2642
(주)현대이지웰,454,2.5,3630
(주)아프리카티비,452,2.8,4318
(주)윈스,440,2.8,3777
지오시스(유),439,2.3,3498
코나아이(주),438,2.4,4291
제로웹(주),434,2.1,2610
(주)롯데닷컴,433,3.1,4092
(주)써머스플랫폼,433,2.5,3274
(주)와이즈넛,424,2.7,4600
아이지에스(주),423,2.4,3009
케이지이니시스(주),415,2.2,3972
(주)직방,414,2.9,4369
에스케이커뮤니케이션즈(주),414,3.1,4756
(주)미디어로그,410,2.9,4079
와이즈와이어즈(주),406,2.1,2869
(주)아이뱅크,405,2.4,3115
(주)엠서클,405,2.4,3783
예스이십사(주),396,2.7,4269
데이터스트림즈(주),392,1.7,3931
(주)이스트소프트,384,3.3,4030
(주)위메이드,382,2.5,4617
베스핀글로벌(주),382,2.8,4720
(주)공팔리터,381,2.4,3272
에스케이오앤에스(주),381,2.9,3271
씨엔티테크(주),379,2.7,3272
(주)이카운트,377,2.8,4128
리디(주),374,3.3,4359
한국지능정보사회진흥원,372,3.4,3901
줌인터넷(주),371,2.7,4067
메가존클라우드(주),368,2.8,4328
(주)웹젠,367,2.8,3597
(주)제이슨그룹,366,2.0,3338
나비스오토모티브시스템즈(주),366,2.4,4291
어니컴(주),360,2.2,2983
한국오라클(유),359,3.3,5946
(주)와이드넷엔지니어링,358,2.4,2720
에스케이브로드밴드(주),357,3.5,5325
이씨이십일(주),355,2.4,3731
(주)난다,353,2.8,3146
(주)푸드나무,353,2.3,3144
(주)클래스101,343,2.5,4332
엔에이치엔커머스(주),342,2.7,3545
(주)오토소프트,341,2.2,2646
(주)한글과컴퓨터,335,2.6,4697
(주)펜타브리드,333,2.8,3582
(주)블랙홀릭,329,2.5,3228
오픈타이드코리아(주),327,2.7,3576
(주)써스포,326,2.5,2626
테스트이앤씨(주),323,2.5,2627
