,리뷰수(개),평점,평균 연봉(만)
씨제이씨지브이(주),2291,3.5,4098
롯데시네마 (매장),2223,3.5,3179
씨제이이앤엠(주),1591,3.2,4629
(주)더에스엠씨그룹,1147,2.4,2983
(주)웅진씽크빅,1056,3.2,4307
(주)문화방송,1020,3.2,5136
한국방송공사,922,3.3,5157
(주)제일기획,910,3.7,5495
메가박스중앙(주),888,3.2,3286
(주)천재교육,843,2.6,3580
(주)비상교육,818,3.1,3741
(주)이엠넷,787,2.6,3449
(주)교원구몬,729,2.3,3743
(주)에코마케팅,718,2.4,4278
(주)엠포스,665,2.7,3336
펑타이그레이터차이나(유)영업소,625,3.2,4042
(주)시대고시기획시대교육,607,1.8,2742
(주)에이엠피엠글로벌,606,2.3,3056
(주)에스엠엔터테인먼트,581,2.5,3659
(주)에스비에스,567,3.2,5238
(주)프레인글로벌,552,2.9,3732
(주)피알원,552,2.9,3783
한국교육방송공사,539,3.3,5089
(주)차이커뮤니케이션,530,2.5,3481
(주)플레이디,524,3.0,3582
(주)대학내일,523,3.9,4548
(주)천재교과서,512,2.3,3698
(주)애드쿠아인터렉티브,508,2.9,3443
이노션(주),487,3.3,5592
재능교육(주),483,2.2,3017
(주)디노마드,470,2.8,2987
(주)엣지랭크,455,2.3,3070
(주)매스씨앤지,448,2.0,3119
메가스터디(주),448,2.9,3488
(주)아메바,443,2.4,4642
미디컴,432,2.4,3879
(주)대홍기획,427,3.4,5126
(주)미래아이엔씨,415,2.6,3043
케이피알앤드어소시에이츠(주),405,3.3,4333
(주)NE능률,400,2.9,3564
인크로스(주),400,2.8,3732
(주)나스미디어,398,3.3,4138
와이지엔터테인먼트(주),385,2.4,3548
제이티비씨(주),377,3.2,4862
(주)아이스크림에듀,358,2.6,3968
중앙일보(주),353,3.2,4984
(주)매일경제신문사,344,2.8,3702
예지솔루션(주),332,2.3,2588
조선일보사(주),321,3.2,5008
부산국제영화제,320,3.2,4076
킨코스코리아(주),320,2.5,2668
(주)에이피알에이전시,317,2.4,2650
(재)서울문화재단,313,3.2,3326
그룹엠코리아(주),303,3.3,4205
(주)인터스텔라,298,3.2,3320
레오버넷(주),295,3.0,4127
(주)메조미디어,291,3.2,4485
(주)디트라이브,282,2.8,3123
(주)트리플하이엠,280,3.1,2807
(주)모비데이즈,278,2.8,3461
잉글리시에그(주),274,3.0,3185
(주)미래엔,272,2.8,4233
이브릿지(주),263,2.0,3049
피키캐스트(주),262,2.9,3133
(주)아이유노글로벌,259,2.2,3264
(주)금성출판사,257,2.3,3233
(주)안그라픽스,255,2.2,3035
케이비에스미디어(주),254,3.3,4440
(주)마더브레인,253,2.5,3291
(주)채널에이,251,2.8,4107
(주)하이브,251,3.0,4761
(주)와이티엔,249,2.9,4107
(주)위블링,249,2.4,3930
(주)코마스인터렉티브,249,2.7,3371
세종씨앤피(주),248,1.8,2790
(주)덱스터스튜디오,238,2.5,2838
(주)로커스,238,2.7,3337
(주)디에프에이치,235,2.7,2990
(주)메이크어스,234,2.8,3502
(주)지엔앰퍼포먼스,231,2.1,3518
한국학술정보(주),230,2.2,2759
(주)레뷰코퍼레이션,229,3.1,3227
(주)디지털트리니티,227,2.8,3277
(주)미디어윌,223,2.3,3646
엔에이치엔애드(주),222,3.7,3589
레드브릭스,221,2.8,2998
(주)클콩,219,1.9,2738
에델만퍼블릭릴레이션스월드와이드코리아(주),218,2.8,4016
(주)레인보우커뮤니케이션,216,2.4,3471
비비디오코리아(주),215,2.1,4380
아이코닉스(주),214,2.6,4231
(주)자이언트스텝,212,2.9,3286
(주)디엠씨미디어,211,2.7,3830
(주)디자인하우스,211,2.8,3419
(재)국제방송교류재단,210,2.8,3275
더북컴퍼니(주),210,2.5,3416
(주)엠비씨플러스,208,3.2,4131
(주)제이와이피엔터테인먼트,207,2.6,3212
(주)해법에듀,205,2.5,3321
(주)현대퓨처넷,205,2.9,4746
지앤비패럴랙스교육(주),203,2.8,3028
(주)북이십일,202,2.4,3393
(주)이든앤앨리스마케팅,201,2.5,3564
한국경제티브이(주),200,2.8,3703
(주)에스에이엠지엔터테인먼트,199,2.4,3121
씨엠비대전방송(주),198,1.6,2785
(주)동아일보사,197,3.2,4289
(주)성원애드피아,197,2.1,3658
(주)시너지힐앤놀튼,196,2.7,3772
(주)그룹아이디디,195,2.9,3285
