,리뷰수(개),평점,평균 연봉(만)
국민건강보험공단,2499,3.9,3564
근로복지공단,1918,3.4,3060
새마을금고,1862,2.4,3804
농협은행(주),1563,3.7,5411
현대카드(주),1436,3.1,5720
중소기업은행,1383,3.8,5637
국민연금공단,1155,3.9,3744
현대캐피탈(주),1126,3.1,5430
국민은행(주),1102,3.7,6069
삼성생명보험(주),1003,2.9,6286
신한은행(주),957,3.3,5764
(주)우리은행,885,3.3,5481
신용보증기금,807,4.0,5307
한화생명보험(주),747,2.9,5905
하나은행(주),736,3.2,5867
한국스탠다드차타드은행(주),725,3.1,4956
삼성화재해상보험(주),661,3.3,5437
DB손해보험(주),656,3.0,5310
웰컴저축은행(주),650,2.3,3913
메리츠화재해상보험(주),589,2.8,5662
교보생명보험(주),569,3.0,5232
굿리치(주),525,2.6,3907
롯데카드(주),523,2.8,5237
한국투자증권(주),503,3.2,5908
한국산업은행,480,4.0,5462
한국자산관리공사,443,3.8,4625
삼성카드(주),442,3.5,6341
비씨카드(주),440,3.5,5995
농업협동조합중앙회,427,3.7,6035
삼성증권(주),419,3.2,5414
삼성카드고객서비스(주),415,2.8,3422
홍콩상하이은행서울지점,414,2.7,4774
서울보증보험(주),413,3.9,5810
키움증권(주),412,2.9,4305
현대해상화재보험(주),402,3.7,5774
한국주택금융공사,401,4.1,4800
삼성생명서비스손해사정(주),399,2.5,3410
미래에셋대우(주),396,3.3,5143
케이비라이프생명보험(주),396,3.4,5605
한국은행,385,4.1,5302
(주)케이비손해사정,374,2.3,3599
오케이저축은행(주),367,2.1,4733
신한투자증권(주),366,3.5,5868
신한카드(주),358,3.2,5948
대신증권(주),356,2.8,5751
(재)한국장학재단,335,3.6,4432
라이나생명보험(주),325,2.8,6211
(주)앞선그룹,324,2.4,3257
우체국금융개발원(재),305,2.5,3439
한국수출입은행,301,3.8,4841
한국씨티은행(주),300,3.3,7408
(주)에스비아이저축은행,299,3.1,5119
오렌지라이프생명보험(주),298,3.1,5018
메트라이프생명보험(주),296,3.5,5682
모아저축은행(주),296,1.6,3901
롯데손해보험(주),294,2.6,5503
현대커머셜(주),294,2.7,5310
한화손해보험(주),289,3.0,5575
현대하이라이프손해사정(주),288,2.5,4010
한화손해사정(주),282,2.6,3666
