,리뷰수(개),평점,평균 연봉(만)
대한무역투자진흥공사,1612,3.6,4191.0
삼일회계법인,1451,3.4,6399.0
한영회계법인,1269,3.2,5784.0
안진회계법인,1182,3.3,5460.0
대한민국 육군,1179,3.0,3468.0
삼정회계법인,1146,3.3,6367.0
한국과학기술연구원,995,3.8,5068.0
한국환경공단,840,3.7,3535.0
한국국제협력단,779,3.5,4073.0
(주)한국능률협회컨설팅,777,2.9,5438.0
소상공인시장진흥공단,772,3.2,3246.0
한국전자기술연구원,770,3.3,6191.0
한국화학연구원,744,3.8,4686.0
한국생산기술연구원,737,3.7,4565.0
(주)윕스,694,2.7,3579.0
닐슨아이큐코리아(유),690,2.6,3897.0
김앤장법률사무소,671,3.2,4831.0
도로교통공단,654,3.5,3290.0
한국생산성본부,642,3.4,5543.0
대한민국 공군,639,3.4,3210.0
건강보험심사평가원,637,3.7,4188.0
중소벤처기업진흥공단,574,3.7,4933.0
한국리서치(주),563,2.9,5048.0
(주)칸타코리아,550,3.1,4607.0
한국교통안전공단,544,3.5,4278.0
입소스(주),532,2.6,3991.0
한국산업기술시험원,506,3.7,4902.0
삼정케이피엠지(주),476,3.2,5974.0
어린이급식관리지원센터,447,2.8,2456.0
한국전자통신연구원,436,4.1,5028.0
한국교육개발원,434,2.8,3381.0
한국생명공학연구원,426,3.3,4751.0
사회복지법인어린이재단,417,3.4,3685.0
(사)한국능률협회,377,2.6,4904.0
(재)한국원자력연구원,365,4.1,5791.0
한국농수산식품유통공사,358,3.9,3564.0
딜로이트컨설팅(유),356,3.3,6779.0
한국환경산업기술원,352,3.2,4275.0
(주)엑스퍼트컨설팅,349,2.7,3309.0
대한민국 국회,341,3.1,3776.0
한국아이큐비아(주),341,3.3,5586.0
한국관광공사,340,3.8,3845.0
(주)마크로밀엠브레인,333,2.8,3862.0
한국무역협회(사),327,4.0,6035.0
(주)엘에스케이글로벌파마서비스,315,2.4,4203.0
한국정보통신기술협회,314,2.9,4776.0
한국과학기술기획평가원,305,3.6,6096.0
대한상공회의소,302,3.4,4691.0
한국세라믹기술원,301,3.2,3586.0
(주)채선당,283,2.9,3567.0
한국에너지공단,282,3.0,4167.0
한국사회보장정보원,280,2.9,3696.0
한국직업능력연구원,277,3.5,3163.0
한국고용정보원,270,3.7,4057.0
농림축산검역본부,267,2.7,3154.0
한국인터넷진흥원,267,3.6,4618.0
(재)대구경북과학기술원,266,3.5,4934.0
더보스톤컨설팅그룹인터내셔날인크,264,4.1,8731.0
한국과학기술정보연구원,263,4.0,5205.0
대한민국 해군,254,3.0,3003.0
경기도교육청,252,3.3,3557.0
서울시교육청,251,3.6,3399.0
(주)두산,250,3.3,5514.0
한국해양과학기술원,250,3.4,4402.0
서울시설공단,244,3.8,3829.0
한국개발연구원,244,3.6,4609.0
한국보건산업진흥원,241,2.9,4102.0
한국교육학술정보원,240,3.8,4481.0
한국보건복지인재원,238,2.7,3164.0
(재)한국기계전기전자시험연구원,237,3.3,4693.0
(재)한국에너지기술연구원,237,3.9,4928.0
에이티커니코리아(유),235,3.3,6357.0
법무법인(유)광장,231,2.9,3914.0
(주)엘에스,230,3.2,5025.0
마콜컨설팅그룹(주),229,3.0,4376.0
특허법인 리앤목,226,2.7,3143.0
(주)해커스어학연구소,225,2.3,3259.0
(주)드림씨아이에스,224,3.1,4069.0
한국철도기술연구원,222,4.0,4547.0
이랜드 ESI,217,3.1,4217.0
한국법무보호복지공단,214,2.4,3310.0
(재)경기도일자리재단,213,2.8,3717.0
한국소비자원,213,3.7,3945.0
경기신용보증재단,210,3.4,5809.0
법무법인(유)태평양,209,3.2,3974.0
한국기계연구원,209,3.7,4936.0
농촌진흥청,207,3.5,3202.0
선거관리위원회,204,3.9,3800.0
한국문화관광연구원,204,3.0,3542.0
베인앤드컴퍼니코리아인크(주),203,4.1,8324.0
한국표준과학연구원,201,4.0,5752.0
(주)메디헬프라인,199,1.8,3643.0
(주)한국갤럽조사연구소,194,2.7,3960.0
한국산업기술진흥원,191,3.3,4069.0
국립수산과학원,190,3.3,3314.0
사회복지법인사회복지공동모금회,190,3.4,4155.0
(재)대구테크노파크,189,3.2,3831.0
한국문화재재단,186,2.8,2922.0
(재)한국지질자원연구원,185,4.1,5883.0
한국환경연구원,184,3.4,4213.0
법무법인세종,182,3.2,4128.0
한국건설기술연구원,181,3.7,3773.0
(재)한국과학창의재단,180,3.0,4873.0
한국해양수산개발원,180,3.4,4057.0
한국원자력의학원,177,2.7,4479.0
중소기업기술정보진흥원,174,2.5,3769.0
한국저작권위원회,173,2.9,3479.0
