,리뷰수(개),평점,평균 연봉(만)
삼성에스디에스(주),2042,3.5,5939
(주)더존비즈온,1495,2.4,4025
효성아이티엑스(주),1363,2.8,3238
카페24(주),1200,3.4,4366
씨제이올리브네트웍스(주),1081,3.0,4796
(주)안랩,1028,3.5,4415
한국아이비엠(주),882,3.2,5166
(주)우아한형제들,825,3.8,5209
(주)티맥스소프트,822,2.8,4666
(주)이글루코퍼레이션,703,2.7,3478
(주)코리아센터,689,2.6,3687
(주)신한디에스,642,2.7,4877
에스케이(주),575,3.6,5614
(주)다우기술,572,3.4,4673
(주)마이다스아이티,570,3.3,4913
에스케이엠앤서비스(주),552,2.9,3983
엘에스산전(주),550,3.5,5250
티시스(주),519,2.4,4467
(주)지에스아이티엠,512,2.5,4713
(주)디케이테크인,486,2.6,3522
(주)아이파트너즈,470,2.4,3516
엔테크서비스(주),468,3.6,3784
메가존(주),464,2.7,4093
(주)현대이지웰,454,2.5,3630
(주)아프리카티비,452,2.8,4323
(주)윈스,440,2.8,3781
지오시스(유),439,2.3,3498
제로웹(주),434,2.1,2610
(주)와이즈넛,424,2.7,4600
케이지이니시스(주),415,2.2,3972
(주)직방,414,2.9,4369
(주)아이뱅크,405,2.4,3115
데이터스트림즈(주),392,1.7,3931
(주)이스트소프트,384,3.3,4030
베스핀글로벌(주),382,2.8,4720
씨엔티테크(주),379,2.7,3272
(주)이카운트,377,2.8,4128
메가존클라우드(주),367,2.8,4328
나비스오토모티브시스템즈(주),366,2.4,4298
어니컴(주),360,2.2,2983
한국오라클(유),359,3.3,5946
이씨이십일(주),354,2.4,3730
엔에이치엔커머스(주),342,2.7,3545
(주)클래스101,341,2.5,4332
(주)한글과컴퓨터,335,2.6,4697
(주)펜타브리드,333,2.8,3582
(주)써스포,326,2.5,2626
(주)이지서티,322,2.3,3184
슈어소프트테크(주),321,3.1,3942
네이버시스템(주),319,2.6,3613
코오롱베니트(주),314,3.1,5204
(주)아이비케이시스템,312,2.9,4491
(주)폴라리스오피스,308,3.1,4125
이지케어텍(주),308,2.9,4147
알서포트(주),307,2.9,4016
(주)토마토시스템,299,2.9,3644
(주)파수,289,3.1,4293
(주)코난테크놀로지,284,2.6,3856
(주)코이스,281,1.9,3228
(주)웅진,280,3.1,4417
한국마이크로소프트(유),277,3.6,7672
(주)알티캐스트,276,3.2,4120
(주)지어소프트,272,2.5,3480
(주)콤텍시스템,272,2.9,3910
퓨렌스(주),271,2.7,3021
(주)엠디에스테크,269,3.0,4295
(주)비트컴퓨터,263,2.4,5044
(주)이모션글로벌,263,2.7,3485
아이헤이트플라잉버그스(주),263,2.8,3532
(주)유비케어,260,2.8,3898
이니텍(주),255,2.4,3915
페이레터(주),255,2.5,3764
(주)가온아이,252,2.4,3298
에스코어(주),251,3.2,5332
에임시스템(주),250,2.8,3835
현대엠엔소프트(주),248,2.9,4678
웹케시(주),246,2.9,4040
(주)이트라이브,244,2.3,3504
에스큐아이소프트(주),244,3.1,3357
(주)위즈그룹,242,1.6,2426
(주)케이비데이타시스템,241,3.2,4884
(주)바이널씨,238,2.8,3469
(주)바이브컴퍼니,237,2.9,4160
한솔인티큐브(주),237,3.0,4375
유비벨록스(주),232,2.5,3817
(주)싸이버원,231,3.0,3451
펜타시큐리티(주),231,3.0,3968
(주)모니터랩,230,2.1,3457
(주)마음에이아이,229,1.9,3988
뱅크웨어글로벌(주),229,3.1,4559
(주)엑셈,228,3.3,4038
(주)오케이포스,227,2.7,3568
(주)스포티비,225,1.7,3162
(주)에쓰씨케이,223,2.8,4185
(주)솔트룩스,218,2.8,4182
(주)잉카인터넷,217,2.7,3743
(주)타이탄플랫폼,217,1.9,3953
(주)곰앤컴퍼니,214,2.5,3749
(주)농협정보시스템,214,3.0,5415
(주)시큐아이,214,3.1,4903
(주)에티버스,214,2.7,3521
(주)영림원소프트랩,214,3.0,4063
(주)아이온커뮤니케이션즈,212,2.8,3906
(주)엔텔스,211,2.9,4297
(주)우리요,210,3.7,3335
스노우(주),210,4.1,4966
(주)예스콜닷컴,208,2.8,2563
라온시큐어(주),208,3.3,4518
인피니트헬스케어(주),208,2.9,3950
한국통신인터넷기술(주),208,2.5,3000
(주)골드넥스,204,2.8,2793
케이엘정보통신(주),204,2.5,3112
