,직군,직무,신입,1년차,2년차,3년차,4년차,5년차,6년차,7년차,8년차,9년차,10년차
0,개발,전체,3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
1,개발,데이터 엔지니어,3613,3772,4138,4558,4985,5041,5462,6054,6427,6514,7699
2,개발,임베디드 개발자,3516,3674,3831,4136,4651,4809,5120,5556,5713,6176,6917
3,개발,자바 개발자,3353,3599,3839,4203,4434,4747,5083,5226,5639,6015,6859
4,개발,.NET 개발자,2974,3287,3545,4004,4297,4418,4919,5123,5357,5591,6507
5,개발,"시스템,네트워크 관리자",3470,3546,3632,4083,4316,4461,5038,5374,5518,5921,6654
6,개발,프론트엔드 개발자,3511,3659,3875,4170,4444,4716,5091,5215,5673,6188,6704
7,개발,보안 엔지니어,3043,3372,3831,4206,4479,4791,4961,5270,5474,5678,6660
8,개발,하드웨어 엔지니어,3414,3564,3714,3863,4204,4467,4730,5068,5406,5744,6082
9,개발,DevOps / 시스템 관리자,3712,3832,4064,4418,4821,4998,5619,5937,6097,6399,7557
10,개발,"QA,테스트 엔지니어",3074,3287,3378,3736,4112,4123,4308,4677,4718,4760,5892
11,개발,안드로이드 개발자,3574,3626,3867,4137,4579,4715,5096,5366,5634,6126,6778
12,개발,iOS 개발자,3435,3681,4127,4336,4740,4813,5100,5296,5492,6228,6823
13,개발,"CIO,Chief Information Officer",3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
14,개발,"CTO,Chief Technology Officer",3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
15,개발,서버 개발자,3622,3780,4081,4389,4776,4875,5293,5638,5920,6240,7220
16,개발,웹 개발자,3379,3588,3843,4166,4414,4679,4961,5216,5557,6013,6665
17,개발,프로덕트 매니저,3408,3701,3992,4622,4797,4885,5313,5950,6493,6674,7707
18,개발,개발 매니저,3785,4043,4301,4558,4841,5050,5892,6125,6506,6888,7693
19,개발,PHP 개발자,3184,3381,3514,3979,4241,4396,4742,4935,5244,5604,6576
20,개발,루비온레일즈 개발자,3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
21,개발,Node.js 개발자,3524,3644,4074,4356,4773,4916,5300,5641,6079,6509,7535
22,개발,"영상,음성 엔지니어",3770,3941,4092,4635,5179,5555,5931,6307,6683,7059,7435
23,개발,그래픽스 엔지니어,3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
24,개발,파이썬 개발자,3569,3775,4155,4472,4957,4990,5325,5909,6432,6480,7394
25,개발,"C,C++ 개발자",3563,3750,4049,4515,4802,4866,5241,5726,5894,6225,6936
26,개발,웹 퍼블리셔,2867,3079,3259,3528,3776,3959,4363,4449,4930,5681,5814
27,개발,BI 엔지니어,3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
28,개발,데이터 사이언티스트,3841,4020,4489,4824,5247,5590,5930,6225,6520,6635,7724
29,개발,빅데이터 엔지니어,3576,3867,4221,4767,4923,5080,5894,6104,6314,6693,7803
30,개발,기술지원,3219,3363,3468,4124,4207,4658,4869,5001,5133,6293,6309
31,개발,블록체인 플랫폼 엔지니어,3687,4023,4530,4814,5220,5626,6169,6712,7254,7797,8340
32,개발,머신러닝 엔지니어,4045,4197,4650,5021,5429,5525,5883,6582,6792,7001,7887
33,개발,소프트웨어 엔지니어,3763,3876,4162,4639,4926,5207,5598,5967,6266,6643,7370
34,개발,크로스플랫폼 앱 개발자,3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
35,개발,VR 엔지니어,3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
36,개발,ERP전문가,3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
37,개발,DBA,3536,3694,3982,4317,4624,4819,5177,5499,5859,6185,7057
38,경영·비즈니스,전체,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
39,경영·비즈니스,비서,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
40,경영·비즈니스,경영지원,3070,3247,3440,3569,3841,4061,4276,4512,4706,5105,5813
41,경영·비즈니스,운영 매니저,3174,3360,3402,3791,3911,4276,4610,4681,4942,5475,6083
42,경영·비즈니스,안내원,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
43,경영·비즈니스,오피스 관리,3088,3119,3149,3543,3573,3809,4116,4184,4286,4816,5319
44,경영·비즈니스,지역 관리 매니저,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
45,경영·비즈니스,PM·PO,3290,3487,3831,4096,4410,4699,5021,5233,5606,6037,6881
46,경영·비즈니스,지점장,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
47,경영·비즈니스,구매담당,3252,3447,3458,3593,3844,4071,4224,4566,4621,5530,5761
48,경영·비즈니스,총무,2861,3082,3153,3438,3530,3786,3879,4112,4342,4621,4998
49,경영·비즈니스,전략 기획자,3502,3605,3891,4209,4406,4913,5187,5468,5774,6281,7213
50,경영·비즈니스,사업개발·기획자,3438,3454,3900,4205,4452,4740,5105,5321,5636,6170,7302
51,경영·비즈니스,서비스 기획자,3214,3395,3689,4083,4245,4505,4885,5033,5270,5838,6507
52,경영·비즈니스,조직관리,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
53,경영·비즈니스,경영 혁신가,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
54,경영·비즈니스,리스크 관리 전문가,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
55,경영·비즈니스,컨설턴트,3321,3584,4387,4474,4560,5178,5279,5692,5715,6671,7863
56,경영·비즈니스,데이터 분석가,3467,3567,3986,4203,4554,4908,5181,5428,5604,6255,7064
57,경영·비즈니스,"CEO,Chief Executive Officer",3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
58,경영·비즈니스,"CFO,Chief Financial Officer",3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
59,경영·비즈니스,"COO,Chief Operation Officer",3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
60,경영·비즈니스,"CSO,Chief Strategy Officer",3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
61,경영·비즈니스,회계·경리,2898,3082,3288,3552,3726,3794,4051,4217,4601,5086,5366
62,경영·비즈니스,해외 사업개발·기획자,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
63,경영·비즈니스,자금담당,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
64,경영·비즈니스,전시 기획자,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
65,경영·비즈니스,세미나/포럼 기획자,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
66,경영·비즈니스,공연 기획자,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
67,경영·비즈니스,애자일코치,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
68,경영·비즈니스,사내 심리상담가,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
69,경영·비즈니스,사무보조,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
70,경영·비즈니스,상품기획자(BM),3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
71,경영·비즈니스,정보보호 담당자,3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
72,경영·비즈니스,ISMS(정보보호체계),3324,3371,3646,3973,4169,4452,4746,4976,5253,5816,6752
73,마케팅·광고,전체,2898,3111,3510,3652,3980,4153,4358,4689,4959,5374,6177
74,마케팅·광고,브랜드 마케터,2872,3074,3492,3620,3951,4129,4317,4646,4925,5304,5946
75,마케팅·광고,카피라이터,2815,3046,3284,3521,3806,4076,4258,4483,4676,5235,5903
76,마케팅·광고,마켓 리서처,3004,3162,3604,3671,4049,4320,4463,4605,5096,5511,5927
77,마케팅·광고,마케터,2893,3125,3462,3641,3934,4161,4355,4648,4956,5346,6038
78,마케팅·광고,PR 전문가,3012,3037,3516,3626,4018,4165,4359,4636,4856,5192,5987
79,마케팅·광고,ATL 마케터,2756,3005,3562,3753,4085,4193,4296,4824,5197,5447,6444
80,마케팅·광고,BTL 마케터,2707,2948,3380,3767,4130,4184,4187,4750,5068,5445,6279
81,마케팅·광고,그로스 해커,2940,3293,3625,3744,4232,4356,4832,5241,5277,6123,6805
82,마케팅·광고,마케팅 전략 기획자,2907,3178,3619,3693,4019,4290,4475,4757,5039,5529,6235
83,마케팅·광고,제휴,2898,3111,3510,3652,3980,4153,4358,4689,4959,5374,6177
84,마케팅·광고,소셜 마케터,2876,3021,3274,3528,3846,3974,4193,4514,4823,5146,5737
85,마케팅·광고,키워드광고,2877,3089,3406,3635,3895,3962,4374,4425,4902,5100,5809
86,마케팅·광고,광고 기획자(AE),2843,3103,3401,3545,3918,4029,4264,4640,4954,5137,6149
87,마케팅·광고,"CMO,Chief Marketing Officer",2898,3111,3510,3652,3980,4153,4358,4689,4959,5374,6177
88,마케팅·광고,"CBO,Chief Brand Officer",2898,3111,3510,3652,3980,4153,4358,4689,4959,5374,6177
89,마케팅·광고,글로벌 마케팅,2994,3263,3727,3884,4039,4349,4443,5091,5217,5978,6911
90,마케팅·광고,디지털 마케터,2883,3089,3532,3660,3965,4141,4323,4678,4893,5352,6022
91,마케팅·광고,Sports 전문가,2898,3111,3510,3652,3980,4153,4358,4689,4959,5374,6177
92,마케팅·광고,마케팅 디렉터,2768,3250,3641,3705,3965,4225,4596,4858,5030,5680,6511
93,마케팅·광고,모바일마케팅,2930,3165,3533,3688,4070,4390,4619,4662,5187,5600,6452
94,마케팅·광고,콘텐츠 마케터,2848,3058,3367,3602,3889,3986,4214,4579,4743,5089,5813
95,마케팅·광고,퍼포먼스 마케터,3011,3202,3554,3803,4030,4199,4446,4842,5178,5567,6313
96,디자인,전체,2843,3005,3196,3416,3635,3877,4048,4232,4507,4712,5284
97,디자인,그래픽 디자이너,2796,2915,3166,3366,3601,3791,3930,4151,4367,4629,5095
98,디자인,아트 디렉터,2782,2930,3316,3442,3709,4020,4165,4265,4515,4926,5761
99,디자인,웹 디자이너,2778,2973,3113,3330,3536,3827,3932,4048,4385,4616,5012
